title,release_date,youtube_url_playlist_included,bandcamp_url
Hidden Power,2020,https://www.youtube.com/watch?v=0Ji2zSxQflQ&list=PLWLCrnoMs8yBSa8Ei0p0i2t36Zr5DtjuT,https://pay-me
Minecraft Type Beat,2020,https://www.youtube.com/watch?v=3bm_FULmlwY&list=PLWLCrnoMs8yBSa8Ei0p0i2t36Zr5DtjuT&index=2,https://pay-me
Hallowed,2020,https://www.youtube.com/watch?v=BRj-d5fPW4Y&list=PLWLCrnoMs8yBSa8Ei0p0i2t36Zr5DtjuT&index=3,https://pay-me
Hyorri Itai,2020,https://www.youtube.com/watch?v=EWFQ3vTJgDc&list=PLWLCrnoMs8yBSa8Ei0p0i2t36Zr5DtjuT&index=4,https://pay-me
Naruto Type Beat,2020,https://www.youtube.com/watch?v=HGptz-VJdoY&list=PLWLCrnoMs8yBSa8Ei0p0i2t36Zr5DtjuT&index=5,https://pay-me
Unbound Chamber,2020,https://www.youtube.com/watch?v=Md1ZMB5OoaU&list=PLWLCrnoMs8yBSa8Ei0p0i2t36Zr5DtjuT&index=6,https://pay-me
Futurestep,2020,https://www.youtube.com/watch?v=Th0TZWI7LoM&list=PLWLCrnoMs8yBSa8Ei0p0i2t36Zr5DtjuT&index=7,https://pay-me
Beloved,2020,https://www.youtube.com/watch?v=VTdwpvVYKNQ&list=PLWLCrnoMs8yBSa8Ei0p0i2t36Zr5DtjuT&index=8,https://pay-me
Jazz Hands,2020,https://www.youtube.com/watch?v=Y6YbhDvLX-E&list=PLWLCrnoMs8yBSa8Ei0p0i2t36Zr5DtjuT&index=9,https://pay-me
Halo Type Beat,2020,https://www.youtube.com/watch?v=eEQzGqg42AM&list=PLWLCrnoMs8yBSa8Ei0p0i2t36Zr5DtjuT&index=10,https://pay-me
Amogus,2020,https://www.youtube.com/watch?v=ejQymgzKwM8&list=PLWLCrnoMs8yBSa8Ei0p0i2t36Zr5DtjuT&index=11,https://pay-me
renshu,2020,https://www.youtube.com/watch?v=p1TIH2sv_zw&list=PLWLCrnoMs8yBSa8Ei0p0i2t36Zr5DtjuT&index=12,https://pay-me
Melody,2020,https://www.youtube.com/watch?v=wep6SiKfQKo&list=PLWLCrnoMs8yBSa8Ei0p0i2t36Zr5DtjuT&index=13,https://pay-me

ACPS,2021,https://www.youtube.com/watch?v=1Tmbu2S5ky8&list=PLWLCrnoMs8yCQktSidbbbMjGzirjGE1fd,https://pay-me
Laughing Salesmen,2021,https://www.youtube.com/watch?v=4htv-a9z32o&list=PLWLCrnoMs8yCQktSidbbbMjGzirjGE1fd&index=2,https://pay-me
Spongenote,2021,https://www.youtube.com/watch?v=7ba8kIQHKeo&list=PLWLCrnoMs8yCQktSidbbbMjGzirjGE1fd&index=3,https://pay-me
Haruma Jikken,2021,https://www.youtube.com/watch?v=BApRDlgMWo8&list=PLWLCrnoMs8yCQktSidbbbMjGzirjGE1fd&index=4,https://pay-me
Mind Fusion,2021,https://www.youtube.com/watch?v=KQY4CU3Z6Ow&list=PLWLCrnoMs8yCQktSidbbbMjGzirjGE1fd&index=5,https://pay-me
Erabou,2021,https://www.youtube.com/watch?v=T0gMIe15hoM&list=PLWLCrnoMs8yCQktSidbbbMjGzirjGE1fd&index=6,https://pay-me
Gallery,2021,https://www.youtube.com/watch?v=cptxnnkDIgA&list=PLWLCrnoMs8yCQktSidbbbMjGzirjGE1fd&index=7,https://pay-me
Fever Dream,2021,https://www.youtube.com/watch?v=mFLQIn50FIU&list=PLWLCrnoMs8yCQktSidbbbMjGzirjGE1fd&index=8,https://pay-me
Chillhop Moon,2021,https://www.youtube.com/watch?v=m_Gh5OZA2tA&list=PLWLCrnoMs8yCQktSidbbbMjGzirjGE1fd&index=9,https://pay-me
No Regret,2021,https://www.youtube.com/watch?v=uGwGq8upzQA&list=PLWLCrnoMs8yCQktSidbbbMjGzirjGE1fd&index=10,https://pay-me
Spaces Inbetween,2021,https://www.youtube.com/watch?v=y2CVFb1W5uI&list=PLWLCrnoMs8yCQktSidbbbMjGzirjGE1fd&index=11,https://pay-me
